date,return
2021-08-15T21:00:00,0.26
2021-08-16T21:00:00,0.13
2021-08-17T21:00:00,0.38
2021-08-18T21:00:00,1.43
2021-08-19T21:00:00,1.57
2021-08-22T21:00:00,0.64
2021-08-23T21:00:00,0.3
2021-08-24T21:00:00,0.36
2021-08-25T21:00:00,0.95
2021-08-26T21:00:00,0.82
2021-08-29T21:00:00,0.67
2021-08-30T21:00:00,0.85
2021-08-31T21:00:00,1.15
2021-09-01T21:00:00,0.89
2021-09-02T21:00:00,0.71
2021-09-05T21:00:00,0.63
2021-09-06T21:00:00,1.28
2021-09-07T21:00:00,1.44
2021-09-08T21:00:00,1.29
2021-09-09T21:00:00,1.41
2021-09-12T21:00:00,1.09
2021-09-13T21:00:00,1.4
2021-09-14T21:00:00,0.99
2021-09-15T21:00:00,1.02
2021-09-16T21:00:00,1.32
2021-09-19T21:00:00,1.81
2021-09-20T21:00:00,1.8
2021-09-21T21:00:00,1.07
2021-09-22T21:00:00,0.56
2021-09-23T21:00:00,0.35
2021-09-26T21:00:00,-0.09
2021-09-27T21:00:00,0.22
2021-09-28T21:00:00,-0.01
2021-09-29T21:00:00,-0.76
2021-09-30T21:00:00,-0.92
2021-10-03T21:00:00,-1.17
2021-10-04T21:00:00,-1.43
2021-10-05T21:00:00,-1.73
2021-10-06T21:00:00,-2.07
2021-10-07T21:00:00,-2.53
2021-10-10T21:00:00,-2.66
2021-10-11T21:00:00,-2.98
2021-10-12T21:00:00,-2.59
2021-10-13T21:00:00,-3.15
2021-10-14T21:00:00,-3.19
2021-10-17T21:00:00,-2.97
2021-10-18T21:00:00,-2.89
2021-10-19T21:00:00,-3.1
2021-10-20T21:00:00,-2.91
2021-10-21T21:00:00,-2.77
2021-10-24T21:00:00,-2.91
2021-10-25T21:00:00,-2.96
2021-10-26T21:00:00,-3.1
2021-10-27T21:00:00,-2.49
2021-10-28T21:00:00,-3.19
2021-10-31T21:00:00,-2.91
2021-11-01T21:00:00,-2.75
2021-11-02T21:00:00,-2.68
2021-11-03T21:00:00,-2.65
2021-11-04T21:00:00,-2.53
2021-11-07T22:00:00,-2.34
2021-11-08T22:00:00,-2.32
2021-11-09T22:00:00,-2.91
2021-11-10T22:00:00,-2.49
2021-11-11T22:00:00,-2.76
2021-11-14T22:00:00,-3.72
2021-11-15T22:00:00,-3.81
2021-11-16T22:00:00,-3.41
2021-11-17T22:00:00,-3.02
2021-11-18T22:00:00,-3.52
2021-11-21T22:00:00,-3.55
2021-11-22T22:00:00,-3.68
2021-11-23T22:00:00,-4.11
2021-11-24T22:00:00,-4.19
2021-11-25T22:00:00,-2.09
2021-11-28T22:00:00,-2.26
2021-11-29T22:00:00,-1.56
2021-11-30T22:00:00,-1.46
2021-12-01T22:00:00,-1.74
2021-12-02T22:00:00,-1.36
2021-12-05T22:00:00,-2.07
2021-12-06T22:00:00,-3.13
2021-12-07T22:00:00,-2.37
2021-12-08T22:00:00,-2.34
2021-12-09T22:00:00,-1.98
2021-12-12T22:00:00,-1.61
2021-12-13T22:00:00,-1.41
2021-12-14T22:00:00,-1.32
2021-12-15T22:00:00,-1.43
2021-12-16T22:00:00,-1.39
2021-12-19T22:00:00,-0.64
2021-12-20T22:00:00,-0.86
2021-12-21T22:00:00,-1.06
2021-12-22T22:00:00,-1.31
2021-12-23T22:00:00,-1.37
2021-12-26T22:00:00,-1.42
2021-12-27T22:00:00,-1.39
2021-12-28T22:00:00,-1.28
2021-12-29T22:00:00,-1.89
2021-12-30T22:00:00,-2.24
2022-01-02T22:00:00,-2.07
2022-01-03T22:00:00,-2.53
2022-01-04T22:00:00,-1.97
2022-01-05T22:00:00,-2.38
2022-01-06T22:00:00,-2.48
2022-01-09T22:00:00,-2.54
2022-01-10T22:00:00,-2.97
2022-01-11T22:00:00,-2.91
2022-01-12T22:00:00,-2.68
2022-01-13T22:00:00,-2.73
2022-01-16T22:00:00,-2.98
2022-01-17T22:00:00,-3.73
2022-01-18T22:00:00,-3.57
2022-01-19T22:00:00,-3.93
2022-01-20T22:00:00,-3.02
2022-01-23T22:00:00,-2.78
2022-01-24T22:00:00,-3.04
2022-01-25T22:00:00,-3.29
2022-01-26T22:00:00,-3.57
2022-01-27T22:00:00,-3.25
2022-01-30T22:00:00,-2.96
2022-01-31T22:00:00,-2.81
2022-02-01T22:00:00,-2.67
2022-02-02T22:00:00,-1.43
2022-02-03T22:00:00,-0.61
