date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,0.02
2022-04-12T21:00:00,0.24
2022-04-13T21:00:00,0.22
2022-04-14T21:00:00,0.46
2022-04-17T21:00:00,0.46
2022-04-18T21:00:00,1.5
2022-04-19T21:00:00,-0.81
2022-04-20T21:00:00,0.33
2022-04-21T21:00:00,0.16
2022-04-24T21:00:00,-0.33
2022-04-25T21:00:00,-0.7
2022-04-26T21:00:00,0.94
2022-04-27T21:00:00,1.89
2022-04-28T21:00:00,-0.84
2022-05-01T21:00:00,0.31
2022-05-02T21:00:00,-0.02
2022-05-03T21:00:00,-0.79
2022-05-04T21:00:00,0.85
2022-05-05T21:00:00,0.25
2022-05-08T21:00:00,-0.17
2022-05-09T21:00:00,0.11
2022-05-10T21:00:00,-0.36
2022-05-11T21:00:00,-1.2
2022-05-12T21:00:00,0.69
2022-05-15T21:00:00,-0.14
2022-05-16T21:00:00,0.17
2022-05-17T21:00:00,-0.9
2022-05-18T21:00:00,-0.28
2022-05-19T21:00:00,0.17
