date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,0.28
2022-04-12T21:00:00,0.3
2022-04-13T21:00:00,1.39
2022-04-14T21:00:00,-0.01
2022-04-17T21:00:00,-0.2
2022-04-18T21:00:00,0.36
2022-04-19T21:00:00,-0.0
2022-04-20T21:00:00,0.38
2022-04-21T21:00:00,-0.16
2022-04-24T21:00:00,-0.05
2022-04-25T21:00:00,0.01
2022-04-26T21:00:00,0.56
2022-04-27T21:00:00,0.11
2022-04-28T21:00:00,0.36
2022-05-01T21:00:00,0.46
2022-05-02T21:00:00,0.14
2022-05-03T21:00:00,1.47
2022-05-04T21:00:00,-0.74
2022-05-05T21:00:00,0.21
2022-05-08T21:00:00,0.18
2022-05-09T21:00:00,0.19
2022-05-10T21:00:00,-0.15
2022-05-11T21:00:00,0.3
2022-05-12T21:00:00,0.09
2022-05-15T21:00:00,0.17
2022-05-16T21:00:00,-0.37
2022-05-17T21:00:00,-1.01
2022-05-18T21:00:00,-0.83
2022-05-19T21:00:00,0.14
