date,return
2022-04-10T21:00:00,0.0
2022-04-11T21:00:00,-0.61
2022-04-12T21:00:00,1.69
2022-04-13T21:00:00,-0.14
2022-04-14T21:00:00,0.24
2022-04-17T21:00:00,0.34
2022-04-18T21:00:00,-0.13
2022-04-19T21:00:00,-0.56
2022-04-20T21:00:00,0.87
2022-04-21T21:00:00,0.0
2022-04-24T21:00:00,-0.62
2022-04-25T21:00:00,-0.5
2022-04-26T21:00:00,0.08
2022-04-27T21:00:00,0.11
2022-04-28T21:00:00,1.46
2022-05-01T21:00:00,-0.26
2022-05-02T21:00:00,0.05
2022-05-03T21:00:00,1.15
2022-05-04T21:00:00,-2.11
2022-05-05T21:00:00,0.15
2022-05-08T21:00:00,1.16
2022-05-09T21:00:00,0.37
2022-05-10T21:00:00,-0.62
2022-05-11T21:00:00,0.56
2022-05-12T21:00:00,-0.41
2022-05-15T21:00:00,0.16
2022-05-16T21:00:00,0.57
2022-05-17T21:00:00,-0.19
2022-05-18T21:00:00,-0.35
2022-05-19T21:00:00,-0.18
